ticker,analyst,target,rating,aver_close_at_analysis,analysis_date,aver_close_at_12m,12m_date
RY,TD Securities,78.0,Hold,70.28285642857144,2016-03-02,97.8328572857143,2017-03-02
RY,Scotiabank,77.0,Outperform,70.28285642857144,2016-03-02,97.8328572857143,2017-03-02
RY,TD Securities,80.0,Buy,69.02999885714286,2016-02-25,97.65625087500001,2017-02-25
RY,Scotiabank,77.0,Outperform,69.02999885714286,2016-02-25,97.65625087500001,2017-02-25
RY,Bank of America Corp,85.0,,69.02999885714286,2016-02-25,97.65625087500001,2017-02-25
RY,National Bank Financial,72.0,Sector Perform,69.02999885714286,2016-02-25,97.65625087500001,2017-02-25
RY,CIBC,78.0,,69.02999885714286,2016-02-25,97.65625087500001,2017-02-25
RY,Barclays PLC,58.0,,70.18500016666667,2016-02-17,98.36999942857143,2017-02-17
RY,National Bank Financial,74.0,,67.873334,2016-02-10,96.43624874999999,2017-02-10
RY,CIBC,80.0,,71.29714328571428,2016-01-07,92.87624925000001,2017-01-07
RY,Scotiabank,86.0,Outperform,76.07000085714286,2015-12-03,88.35555611111111,2016-12-03
RY,Bank of America Corp,92.0,Buy,76.07000085714286,2015-12-03,88.35555611111111,2016-12-03
RY,National Bank Financial,79.0,Sector Perform,76.07000085714286,2015-12-03,88.35555611111111,2016-12-03
RY,Canaccord Genuity,81.0,,76.07000085714286,2015-12-03,88.35555611111111,2016-12-03
RY,Canaccord Genuity,79.0,Hold,75.53285771428571,2015-11-24,89.5428577142857,2016-11-24
RY,Scotiabank,79.0,Outperform,75.74857014285715,2015-11-04,83.165000875,2016-11-04
RY,Scotiabank,79.0,Outperform,72.40285828571429,2015-09-30,81.163750625,2016-09-30
RY,Barclays PLC,71.0,Underweight,72.56500000000001,2015-09-10,80.88874912500002,2016-09-10
RY,CIBC,83.0,,72.35999842857142,2015-09-01,81.6049995,2016-09-01
RY,Bank of America Corp,72.0,Buy,72.31222111111111,2015-08-29,81.6000005,2016-08-29
RY,Canaccord Genuity,75.0,Hold,72.50428442857142,2015-08-27,81.622223,2016-08-27
RY,Scotiabank,79.0,Sector Outperform,72.50428442857142,2015-08-27,81.622223,2016-08-27
RY,Bank of America Corp,72.0,Buy,72.50428442857142,2015-08-27,81.622223,2016-08-27
RY,Scotiabank,82.0,,73.8200007142857,2015-08-20,80.89666744444445,2016-08-20
RY,CIBC,84.0,Outperform,75.108750125,2015-08-17,80.394286,2016-08-17
RY,Barclays PLC,76.0,,76.12142828571429,2015-08-12,80.171250375,2016-08-12
RY,TD Securities,90.0,Buy,79.646249875,2015-05-29,79.50222266666667,2016-05-29
RY,CIBC,87.0,Outperform,79.646249875,2015-05-29,79.50222266666667,2016-05-29
RY,BMO Capital Markets,90.0,Market Perform,79.646249875,2015-05-29,79.50222266666667,2016-05-29
TD,CIBC,58.0,,53.57000014285713,2016-03-03,69.49875175,2017-03-03
TD,Scotiabank,57.0,Sector Perform,52.33999962500001,2016-02-26,69.47000122222221,2017-02-26
TD,CIBC,57.0,,52.33999962500001,2016-02-26,69.47000122222221,2017-02-26
TD,"Keefe, Bruyette &amp; Woods",52.0,,52.16285642857143,2016-02-19,69.52125075,2017-02-19
TD,Barclays PLC,44.0,,52.08999933333334,2016-02-17,69.30714314285714,2017-02-17
TD,National Bank Financial,56.0,,50.62000016666667,2016-02-10,68.165000875,2017-02-10
TD,CIBC,57.0,,52.18285685714286,2016-01-07,67.288749625,2017-01-07
TD,CSFB,66.0,,54.45142857142857,2015-12-17,66.45333344444445,2016-12-17
TD,Credit Suisse Group AG,66.0,,54.45142857142857,2015-12-17,66.45333344444445,2016-12-17
TD,Canaccord Genuity,59.0,Buy,53.75285728571429,2015-12-09,65.04124887500001,2016-12-09
TD,National Bank Financial,59.0,Outperform,54.361249875000006,2015-12-04,64.12333222222225,2016-12-04
TD,CIBC,59.0,,54.361249875000006,2015-12-04,64.12333222222225,2016-12-04
TD,Canaccord Genuity,56.0,Hold,54.48428628571429,2015-11-24,63.904284857142855,2016-11-24
TD,Scotiabank,56.0,Sector Perform,52.72714157142858,2015-10-16,58.69222177777778,2016-10-16
TD,CSFB,62.0,Neutral,51.745713857142846,2015-09-22,57.84142857142857,2016-09-22
TD,Barclays PLC,51.0,Underweight,51.938332833333334,2015-09-10,57.908750625,2016-09-10
TD,BMO Capital Markets,57.0,Outperform,51.911250125,2015-08-31,58.335000166666674,2016-08-31
TD,Scotiabank,56.0,Sector Perform,51.50555533333333,2015-08-29,58.133750250000006,2016-08-29
TD,Royal Bank of Canada,61.0,Outperform,51.50555533333333,2015-08-29,58.133750250000006,2016-08-29
TD,Canaccord Genuity,54.0,Hold,51.50555533333333,2015-08-29,58.133750250000006,2016-08-29
TD,CIBC,58.0,Outperform,51.713749750000005,2015-08-17,56.950000428571435,2016-08-17
TD,Barclays PLC,53.0,,52.415713571428576,2015-08-12,57.135000250000004,2016-08-12
TD,TD Securities,62.0,Buy,52.218571857142855,2015-07-22,56.98875,2016-07-22
TD,CIBC,60.0,Outperform,54.717500375,2015-06-01,57.421428857142864,2016-06-01
TD,Scotiabank,58.0,Sector Perform,55.130000375,2015-05-29,57.381111222222216,2016-05-29
TD,Royal Bank of Canada,55.0,Outperform,55.130000375,2015-05-29,57.381111222222216,2016-05-29
TD,Canaccord Genuity,57.0,Hold,55.130000375,2015-05-29,57.381111222222216,2016-05-29
TD,Barclays PLC,55.0,Underweight,55.130000375,2015-05-29,57.381111222222216,2016-05-29
BNS,CIBC,61.0,,58.61714228571429,2016-03-03,79.16624924999999,2017-03-03
BNS,TD Securities,66.0,Buy,57.581428,2016-03-02,79.124285,2017-03-02
BNS,Scotiabank,66.0,Outperform,57.581428,2016-03-02,79.124285,2017-03-02
BNS,"Keefe, Bruyette &amp; Woods",57.0,,55.35428585714286,2016-02-19,81.453748625,2017-02-19
BNS,National Bank Financial,59.0,,54.23166633333333,2016-02-10,79.9524995,2017-02-10
BNS,National Bank Financial,60.0,Sector Perform,52.98714271428571,2016-01-21,77.43999988888888,2017-01-21
BNS,CIBC,61.0,,54.84857171428571,2016-01-07,76.68874924999999,2017-01-07
BNS,CSFB,68.0,,56.47857114285715,2015-12-17,76.28999911111111,2016-12-17
BNS,Credit Suisse Group AG,68.0,,56.47857114285715,2015-12-17,76.28999911111111,2016-12-17
BNS,Scotiabank,70.0,Outperform,59.862857428571424,2015-12-02,74.17374887499999,2016-12-02
BNS,National Bank Financial,67.0,Sector Perform,59.862857428571424,2015-12-02,74.17374887499999,2016-12-02
BNS,Royal Bank of Canada,72.0,Outperform,59.862857428571424,2015-12-02,74.17374887499999,2016-12-02
BNS,Canaccord Genuity,71.0,Buy,60.49142885714286,2015-11-24,72.80714328571429,2016-11-24
BNS,"Keefe, Bruyette &amp; Woods",63.0,Market Perform,60.51375,2015-11-23,72.56428657142858,2016-11-23
BNS,Barclays PLC,61.0,Equal Weight,58.61666616666667,2015-09-10,69.823749625,2016-09-10
BNS,Scotiabank,69.0,Outperform,59.05875025,2015-08-31,69.68333316666667,2016-08-31
BNS,CIBC,65.0,,59.05875025,2015-08-31,69.68333316666667,2016-08-31
BNS,Canaccord Genuity,67.0,Buy,59.05875025,2015-08-31,69.68333316666667,2016-08-31
